dfk_flurst,inj_well_id,inj_x_coord,inj_y_coord,ex_well_id,ex_x_coord,ex_y_coord,gwm,kf,fa,d_vel,st_distance,max_potential_pump,max_demand_pump,buildings_per_plot,plume_length,plume_width
8662/1587/9,114427,680063.195294796,5336097.81423016,133369,680060.980644838,5336089.78581963,8.8,0.0034684,6.0,4.167e-05,8.32826812229283,4.88630817179567,0.916993896976929,2,49.6862713866063,11.6827757859329
8662/1583/6,30581,680009.394998899,5336015.67007555,49523,680006.224897439,5335994.47071791,8.7,0.0035448,6.3,4.358e-05,21.4350718995765,13.0032348326989,0.462519288186157,1,16.9289901886761,6.75117006646863
8662/1584/0,52906,680067.766369398,5335945.43353002,71848,680050.52638432,5335934.16680245,8.5,0.00347213,6.8,4.347e-05,20.5950536659176,12.1756309668612,0.274147224741448,1,8.02987768592494,4.61737038889674
8662/1578/10,58182,680182.742974255,5335857.39441322,77124,680178.64284618,5335848.95497921,8.2,0.0031346,7.2,3.912e-05,9.3827019881556,4.81571307930961,0.364657763524264,1,15.2284305337277,6.39678842329771
8662/1439/5,46555,679937.152391406,5335972.23799834,65497,679931.189743549,5335938.84567363,8.6,0.0036098,7.1,4.447e-05,33.9205029290617,20.7561999699139,0.909705178798727,1,46.0944489859743,11.2447032697329
8662/1592/0,52380,680219.785918561,5336010.79922372,71322,680199.803938089,5335998.73937856,8.6,0.00319274,6.4,4.012e-05,23.3392246815285,12.8844469925074,0.300714174622116,1,10.2232218272457,5.22171314301971
8662/1658/2,135246,680264.627017701,5335968.34256943,154188,680247.353691515,5335949.65334896,8.5,0.00302875,6.7,3.868e-05,25.4490620507842,13.3874281936909,0.33808454494829,1,13.1016468378591,5.92498994614096
8662/1660/8,60872,680257.280082819,5335934.22423824,79814,680254.551130468,5335926.66297691,8.4,0.00298596,6.8,3.841e-05,8.0386475188425,4.14979422411107,0.456748060660302,1,21.1629241987676,7.56408109549366
8662/1592/9,54967,680171.371842461,5336165.0891432,73909,680146.629879045,5336148.30891481,8.9,0.00336371,6.2,3.785e-05,29.8954982977026,16.1131952544889,1.02349679892601,1,66.541394108623,13.5568181533416
8662/1584/11,54902,680002.341968356,5336103.46160727,73844,679990.918566322,5336096.25918302,8.8,0.00350548,6.0,4.259e-05,13.5044077670552,8.09815039332825,1.23585991447892,1,75.2340426264991,14.431673634842
8662/1576/2,52965,680117.114958761,5335817.84625719,71907,680052.710233027,5335776.24828367,8.2,0.0032564,7.4,4.157e-05,76.6704643144647,41.8159485643661,0.931827625696102,2,56.7882591396447,12.505430763108
8662/1664/0,52856,680377.956391913,5335940.46307565,71798,680348.854520026,5335926.32274478,8.4,0.00261505,7.5,3.461e-05,32.3553381133036,15.0503573082433,0.616728763325378,1,38.8209336284378,10.3029257217684
8662/1666/2,122046,680272.980818824,5335870.90545988,140988,680252.972788494,5335848.19588089,8.2,0.00285205,7.2,3.621e-05,30.266256058503,14.3787476502445,0.471904692521878,1,25.1746752104373,8.26330721686911
8662/1587/2,83512,680096.253801325,5335993.99745507,102454,680096.956025454,5335983.6642457,8.6,0.0034266,6.5,4.233e-05,10.3570427488679,6.0325714051398,0.531502143396977,1,22.1658019737457,7.74457759020892
8662/1672/0,53035,680371.038618855,5335816.27329112,71977,680368.078166899,5335789.89178051,8.1,0.00246808,7.7,3.206e-05,26.5470973514435,11.0302552364911,1.21541018615752,1,127.2206178814,18.8589533144734
8662/1590/0,53912,680178.382991945,5336005.8125162,72854,680166.490470919,5335982.02790941,8.6,0.00327608,6.4,4.062e-05,26.592096123455,14.8631521967981,0.604762272474145,1,28.6197264324705,8.82113730299546
8662/1654/1,48731,680279.430594114,5336109.07154643,67673,680262.752508253,5336093.44844099,8.7,0.00315091,6.5,4.209e-05,22.8525703519967,13.3891564307283,0.728693745624503,1,35.2708798607198,9.81176182421975
8662/1647/4,92538,680227.70649547,5336094.26811019,111480,680205.50096489,5336072.2174121,8.7,0.00325556,5.9,4.061e-05,31.294070913337,17.6902628994854,0.756154627287192,1,39.3399275960398,10.3728522005136
8662/1567/82,135105,680341.886219911,5335709.10912889,154047,680315.529920975,5335696.23261504,7.9,0.00241084,8.4,3.063e-05,29.3335831877214,11.3568839344244,0.553148150159109,2,43.425723478594,10.9082597026459
8662/1587/8,59678,680065.825248516,5336085.26496176,78620,680064.287765483,5336079.47714318,8.8,0.0034703,6.0,4.151e-05,5.98854724059995,3.50007111107884,0.556967229116945,1,23.6557844463538,8.00549869185089
